company_name,name,description,phone,email,state_code,url,language
"CHIBIN MACHINE CO., LTD.","CHIBIN Machine Co.,Ltd. ","Společnost CHIBIN byla založena v roce 1980 a je profesionálním výrobcem potrubních tvarovek se 40letými zkušenostmi.

Od svého založení je CHIBIN hlavním dodavatelem pro Formosa Plastics Group díky naší vynikající kvalitě produktů. Dosud zásobujeme více než 3000 zákazníků na Tchaj-wanu. Kromě národních výzkumných jednotek jsme také dodavatelem pro známé společnosti jako TSMC, China Steel Corporation, Formosa Plastics Group, TTC, CPC Corporation a tak dále. Naše produktová aplikace pokrývá oblast lékařského průmyslu, polovodiče, systémy teplé a studené vody, rafinaci, chemické a potravinářské zpracování, farmacii a přístrojové vybavení a tak dále.

Díky vynikající kvalitě a pověsti značky po desetiletí se naše podnikání rozšiřuje z domácích na zámořské trhy. Naše výrobky se prodávají do USA, Číny, Japonska, Austrálie, Singapuru, Filipín a Malajsie tak dále.",886-73511807,chibinco.ts@gmail.com,TW,www.chibin.com,EN
Triumph Flying Enterprises Co. Ltd.,,"Triumph Flying Enterprises Co., Ltd. je specializovaný vývojář a obchodník s vysoce kvalitním ručním nářadím. Společnost celosvětově prodává své slavné nástroje vlastní značky TRIUMPH, aby splnila požadavky jak ze strany kutilů, tak profesionálních uživatelů po celém světě.

Triumph dodává širokou škálu nástrojů, včetně imbusových klíčů, šroubováků a bitů, ozubených klíčů, momentových klíčů, fréz, pájecích nástrojů a mnoha dalších.

Společnost je velmi hrdá na své výjimečné schopnosti v oblasti výzkumu, vývoje a designu, které společnosti Triumph pomáhají dosáhnout nejlepší kvality, používat nejpokročilejší materiály a vyvíjet nejlepší produkty s nejpokročilejšími funkcemi.

Triumph nedávno představil poutavý nový produkt, mini ráčnu se sadami bitů, jako je 30ks 1/4” mini sada ráčnových nástrčných klíčů a bitů a 50ks kufr na nářadí VDE atd.

Společnost zdůrazňuje, že nové produkty mohou splnit téměř všechny požadavky běžných uživatelů a jsou vhodné zejména pro profesionální uživatele ve stavebnictví a autoopravárenském průmyslu.",886-423812282,triumph.johnson@msa.hinet.net,,www.triumphflying.com.tw,EN
"CHAN-WAY PRECISION INDUSTRY CO., LTD.",,,886-32875507,william.chen@cwfsmold.com,,www.cwfsmold.com,EN
KINIK COMPANY,,,886-226791931,ameliahsieh@kinik.com.tw,,www.kinik.com.tw/en-us/,EN
"SIMAP GROUP, a.s.",,,421-327430472,simap@simap.sk,,www.simap.sk,SK
LUKACEK s.r.o.,,,421-566431711,info@lukacek.sk,,www.lukacek.sk,SK
"Letech Industry, s.r.o.",,,421-948855884,tech@letech.sk,,www.letech.sk,SK
"Pamas - Trenčín, s.r.o.",,,421-905601216,maros@pamas.sk,,www.pamas.sk,SK
"Národní rozvojová banka, a.s.",,,420-255721111,info@nrb.cz,,www.nrb.cz,CZ
Úřad průmyslového vlastnictví,,,420-220383111,posta@upv.cz,,upv.gov.cz,CZ
"WENLINGSHI XINYI ZHIGUAN CO., LTD.",,,86-18958517720,582687037@qq.com,,https://shop73612w62ii979.1688.com,EN
"RIDA PUMP CO., LTD",,,86-15168680088,zonapump@hotmail.com,,www.ridapumps.com,EN
"Hangzhou Mankun Imp. & Exp. Co., Ltd.",,,86-57787099966,418943042@qq.com,,,EN
"HENAN HUVLONE HYDRAULIC TECHNOLOGY CO., LTD",,,86-15239509116,h.export@huvlone.com,,www.huvlone.com,EN
"Hengshui Electric Motors Co., Ltd.",,,86-3186982656,info@cn-mengniu.cn,,www.CN-mengniu.cn,EN
KALINA industries s.r.o.,,Automobilová a průmyslová těsnění. Kovolisovna s nástrojárnou. Řezání laserem a vodním paprskem.,420-577006830,info@kalina.cz,,www.kalina.cz,CZ
"TOP Instruments, s.r.o.",Huba Control,Dodáváme snímače tlaku a průtoku vody. Zastoupení Huba Control.,420-724712988,majce@topinstruments.cz,CH,www.topinstruments.cz,CZ
HEIDENHAIN s.r.o.,,"Rotační snímače polohy.
Lineární snímače polohy.
CNC řízení.
Pohony obráběcích strojů.
Dotyková měřidla.
3D dotykové sondy.",420-272650597,heidenhain@heidenhain.cz,,www.heidenhain.cz,CZ
"Plastcom, spol. s r.o.",,,0,petr.masopust@plastcom.sk,,www.plastcom.sk,SK
PNEUMAX Automation s.r.o.,ACL S.r.l.,"Pneumatické prvky pro průmyslovou automatizaci, návrhy pneumatických obvodů.",420-553760954,pneumax@pneumaxsro.cz,IT,www.pneumaxsro.cz,CZ
Nukon Lazer Makina Metal San.ve Tic. A.Ş,,,90-5304004179,ahmet@nukon.com.tr,,www.nukon.com.tr,EN
"PTV, spol. s r.o.",,"Výroba kompletních systémů pro řezání vodním paprskem a recyklace abraziva RAMS. Náhradní a spotřební díly, abrazivo a zajištění servisní a poradenské činnosti.",420-220981430,obchod@ptv.cz,,www.ptv.cz,CZ
"ZARGES CZ, s.r.o.",,"Žebříky, pojízdná lešení, podesty, bedny a další výrobky z hliníku.",420-543234727,obchod@zarges.cz,,www.zarges.cz,CZ
CRAFT bearings UAB,CRAFT bearings UAB,"CRAFT bearings vyrábí a dodává širokou škálu cenově dostupných průmyslových, automobilových a zemědělských ložisek.",370-37400026,export@craft-bearings.com,LT,www.craft-bearings.com,EN
ONDRÁŠEK INK-JET SYSTEM spol. s r.o.,ANSER CODING INC.,"Nabízíme průmyslové značení a kódování výrobků, dodávky ink-jet tiskáren, etiket a jejich aplikátorů a termotiskáren.",420-558639611,obchod@ondrasek.cz,TW,www.ondrasek.cz,CZ
"D-S-C Slovensko, s.r.o.",DESTACO Europe GmbH,"DESTACO - upínací technika, automatizace, modulární manipulační systémy.",421-908912557,info@upinky.cz,DE,www.upinky.cz,CZ
ELESA+GANTER CZ s.r.o.,ELESA S.p.A.,Dodáváme normalizované součásti pro všechny obory průmyslu.,420-296333872,info@elesa-ganter.cz,IT,www.elesa-ganter.cz,CZ
STAR Czech s.r.o.,,"Naším posláním je pomoci vám docílit porozumění, ať již komunikujete s kýmkoli – zákazníky, obchodními partnery, zaměstnanci, ale i úřady –, kdekoli a v jakékoli formě. Podle vašeho přání vhodně připravíme, formulujeme a pomůžeme publikovat vaše informace tak, abyste dosáhli úspěchu na cílových trzích.

Koho si můžete představit pod názvem STAR Group?

Jsme pobočkou renomované mezinárodní překladatelské a softwarové agentury, založené v roce 1984 ve Švýcarsku. STAR Group nyní působí ve 32 zemích světa v 60 pobočkách. Zaměstnává přes 1000 stálých zaměstnanců a spolupracuje s několika tisíci externích odborníků na celém světě. Našimi klienty jsou přední výrobci automobilů, elektroniky, domácích spotřebičů, počítačové techniky, dále společnosti působící v oblasti IT, softwaru, kancelářských systémů, strojírenství, farmaceutické firmy a mnohé další. Svým zákazníkům nabízíme kompletní servis od překladů, korektur, grafické úpravy dokumentů, elektronického či tištěného publikování přes audio a video služby až k softwarovým řešením v oblasti překladatelství a vícejazyčného publikování. Na kvalitě služeb si zakládáme a spokojenost našich partnerů je nám odměnou. K vašim službám je v rámci České republiky připraveno 9 zkušených projektových koordinátorů, 6 korektorů a mnoho interních a externích překladatelů nejrůznějších oborů.

Pro mnohé společnosti překládáme již více než 20 let.",420-233355377,praha@star-group.net,,www.star-transit.cz,EN
IMECO TH s.r.o.,Altimet SAS,"Prodej a servis přesné měřicí techniky, autorizované zastoupení Taylor Hobson, T&S Längenprüftechnik, Altimet, MICROREP a Eley Metrology.",420-539002196,imeco-th@imeco-th.cz,FR,www.imeco-th.cz,CZ
"M B M Technik, s.r.o.","FineTek Co., Ltd.",,420-545223055,info@mbmtechnik.cz,TW,www.mbmtechnik.cz,CZ
Adash spol. s r.o.,,"Měřicí přístroje a software pro vibrační diagnostiku strojů, diagnostiku ložisek a provozní vyvažování strojů.",420-596232670,info@adash.cz,,www.adash.cz,CZ
JC - METAL s.r.o.,Bernd Siegmund GmbH,"Firma JC-METAL s.r.o. je předním českým výrobcem upínacího nářadí pro svařování, s bohatými zkušenostmi již od roku 1997.",420-571811990,jc-metal@jc-metal.cz,DE,www.jcmetal.cz,CZ
matis s.r.o.,Camozzi,"Dodavatel lineární techniky WINKEL GmbH, Unimotion, MOTUS, Camozzi, HIWIN. Dále převodovek UNIMEC a motive. Dodávky ozubených kol, hřebenů, řemenic, řetěz. kol.",420-548214438,info@matis.cz,IT,www.matis.cz,CZ
"MGM, spol. s r.o.",,"Dlouholetý výrobce a dodavatel strojů pro termické dělení materiálů. Autogen, Plazma a Laser.",420-381254573,obchod@mgm-tabor.cz,,www.mgm-tabor.eu,CZ
JKG Czech&Slovakia Pilots s.r.o.,,,420-777025729,info@jkgpilot.cz,,www.jkgpilot.cz,CZ
CHAMBRELAN s.r.o.,,Průmyslové teleskopické kuličkové lišty a lineární kolejnicová vedení.,420-224833088,info@chambrelan.cz,,www.chambrelan.com,CZ
"Manutan, s.r.o.",,"Nabídka kvalitního vybavení průmyslové výroby, skladů, dílen nebo kanceláří.",420-596614700,prodej@manutan.cz,,www.manutan.cz,CZ
Bitcon spol. s r.o.,,"Dodavatel velkoformátových tiskáren a řezacích systémů pro výrobu obalů, reklamy",420-251095477,obchod@bitcon.cz,,www.bitcon.cz,CZ
IBS Scherer Czech s.r.o.,,"Kompletní řešení průmyslového čištění drobných dílů. Balíček služeb od jednoho dodavatele zahrnuje dodávku mycích stolů, čisticích kapalin a zákonem stanovenou likvidaci. Celý systém čištění, včetně likvidace odpadů, důsledně respektuje zákony týkající se odpadového hospodářství.",420-494947700,info@ibs-scherer.cz,,www.ibs-scherer.cz,CZ
BEEWATEC s.r.o.,,,420-515554400,info@beewatec.cz,,www.beewatec.cz,CZ
Imanpack HSC s.r.o.,,,421-911380985,alfred.bari@imanpack.sk,,www.imanpack.sk,SK
"1.PLASTCOMPANY, spol. s r.o.",AZO GmbH + Co. KG,Dodavatel strojně-technologických zařízení na zpracování a recyklaci plastů.,420-533433700,info@1plastcompany.cz,DE,www.1plastcompany.cz,CZ
GT CRANES - GRUNIVERPAL S.r.l.,,Jeřáby pro výměnu vstřikovacích forem a údržbu průmyslových zařízení.,39-017579301,info@gruniverpal.it,,www.gt-cranes.com,EN
ENIKA.CZ s. r. o.,,,420-493773311,enika@enika.cz,,www.enika.cz,CZ
Colab a.s.,"JIANGSU YAWEI MACHINE TOOL CO.,LTD.","Nabízíme CNC stroje, sériovou a kusovou výrobu různých komponentů a produktů.",421-948347775,benkovsky@colab.sk,CN,www.colab.sk,SK
AutoMax Group s.r.o.,IPC Srl,"Oficiální dovozce čisticí techniky značek LAVOR, IPC, průmyslových vysavačů KEVAC, COYNCO.",420-272700530,info@automax-group.com,IT,www.automax-group.com,EN
DATRON-TECHNOLOGY s.r.o.,CSM GmbH,"Frézovací CNC centra, nástroje, měření dynamiky vozidel, systémy sběru dat.",421-455458480,info@datron.sk,DE,www.datron.sk,SK
"ALCOMEX Spring Works, s.r.o.",,,420-547244200,info@alcomex.cz,,www.alcomex.cz,CZ
"Mahr, spol. s r.o.",,,420-417816735,info-cz@mahr.com,,www.mahr.com,EN
RATAJ a.s.,,,420-387240910,rataj@rataj.cz,,www.rataj.cz,CZ
HaWe systems s.r.o.,,,420-588499123,hawe@hawe.cz,,www.hawe.cz,CZ
Bio-Circle s.r.o.,,"Přípravky a technologie pro čištění, odmašťování, svařování, pasivaci.",420-545231177,info@bio-circle.cz,,www.bio-circle.cz,CZ
BAS Rudice spol. s r.o.,BELEC,,420-541126090,bas@bas.cz,DE,www.bas.cz,CZ
HASCO AUSTRIA GmbH,,"Normalizované díly pro výrobu forem pro plasty a kovy, inteligentní řešení horkých vtoků.",43-22362020,order.at@hasco.com,,www.hasco.com,EN
DAWELL CZ s.r.o.,,"Vývoj, výroba a export mobilních indukčních a odporových ohřevů.",420-702161593,sales@dawell.cz,,www.dawell.cz,CZ
CHVALIS s.r.o.,Parker Hannifin Corp. - Praha,,420-416857711,info@chvalis.cz,CZ,www.chvalis.cz,CZ
"RIPRON, s.r.o.",APE. sp. z oo.,"Vyrábíme zakázkové vrtací stroje a automaty, včetně speciálních aplikací.",420-568848999,rigo@ripron.cz,PL,www.ripron.cz,CZ
"Dukane IAS, s.r.o.",,Technologie pro průmyslové svařování plastů a ultrazvukové řezání.,420-220970509,ceuropeinfo@dukane.com,,www.dukane.com,EN
LB-acoustics Messgeräte GmbH,,,43-12707700,office@lb-acoustics.at,,www.lb-acoustics.at,EN
Ghiringhelli Rettificatrici S.p.A.,,Výrobce bezhrotých brusek.,39-0332543411,info@ghiringhelli.it,,www.ghiringhelli.it,EN
Henninger GmbH & Co. KG - Präzisionstechnik,,"Výrobce brusek na otvory, rychloběžných frézovacích vřeten.",49-708292410,info@henningerkg.de,,www.henningerkg.de,EN
I.M.S.A. s.r.l.,,Výrobce strojů na vrtání hlubokých otvorů.,39-031860444,info@imsaitaly.com,,www.imsaitaly.com,EN
Klein Maschinenbau GmbH u. Co.KG,,Výrobce brusek se středicím navrtáváním pro ponorné a lineární broušení.,49-7082924160,info@klein-zs.com,,www.klein-zs.de,EN
Bergamini Officine Meccaniche S.r.l.,,Výrobce horizontálních brusek.,39-053520204,commerciale@bergamini.it,,www.bergamini.it,EN
Carl Benzinger GmbH,,Výrobce vysoce přesných soustruhů.,49-723141531100,info@benzinger.de,,www.benzinger.de,EN
Affolter Group SA,,Výrobce obráběcích center na ozubení a mikroobrábění až v 8 osách s CNC řízením.,41-324917000,info@affoltergroup.ch,,www.affoltergroup.ch,EN
PFEIFFER Vacuum Austria GmbH,,"Technologie turbočerpadel, vývěv, přístrojů, speciálních vakuových systémů.",43-18941704,office.at@pfeiffer-vacuum.com,,www.pfeiffer-vacuum.com,EN
JENOPTIK AG,,,49-49772168130,info@jenoptik.com,,www.jenoptik.com,EN
OBECO s.r.o.,HACO Servis,"Výhradní zástupce, prodej a servis strojů HACO a Liptovských strojární. Tabulové, profilové nůžky, ohraňovací lisy, zakružovačky, plasma, lisy v SR a ČR.",421-905270463,obecosro@gmail.com,SK,www.obeco.sk,EN
Rösler Oberflächentechnik GmbH,,"Omílací a tryskací technika, AM Solutions, provozní materiály, technologie pro životní prostředí.",49-95339240,info@rosler.com,,www.rosler.com,EN
INCOE International Europe,,Řešení horkých vtoků pro Váš segment trhu. Regulátory teploty. SoftGate® - řešení pro vysokou kvalitu povrchu.,49-607489070,info@incoe.de,,www.incoe.com,EN
"PRESSHYDRAULIKA, s.r.o.",Hylatechnik Chrubasik GmbH,"Výroba hydraulických lisů 100 kN až 10.000 kN. Obchodní zastoupení firem HYLATECHNIK a Yale, SRN.",420-553759704,sevcik@presshydraulika.cz,DE,www.presshydraulika.cz,CZ
TOKA INDEVA,,Indeva je světová jednička v průmyslových manipulátorech.,49-83898512,indeva.cz@toka.de,,www.indevagroup.cz,EN
Kadant Johnson Europe B.V.,,,420-605116512,ales.holecek@kadant.com,,kadant.com,EN
Moravskoslezský kraj,ATEsystem s.r.o.,,420-595622222,pajurkova@msid.cz,CZ,www.msk.cz,CZ
STEM Slovakia s.r.o.,CLEMCO GmbH,"Inženýring, prodej, montáž, náhradní díly a servis tryskacích zařízení.",421-905493750,tarac@stem.sk,DE,www.stem.sk,SK
"SPECTRO CS, s.r.o.",FLUXANA GmbH & Co. KG,"Nákup a prodej, instalace, zaškolování, kalibrace a servis analyzátorů a spektrometrů.",420-596762840,info@spectro.cz,DE,www.spectro.cz,CZ
"JIRKA a spol., s.r.o.",,"Výroba digitálních odměřování polohy, měřicí přístroje, kovovýroba.",420-491481062,info@jirkaspol.cz,,www.jirkaspol.cz,CZ
S&K Solutions GmbH & Co. KG,,"e-shelf-labels je kompetentním partnerem pro elektronické označování a digitální značení. Jako distributor s přidanou hodnotou podporujeme zákazníky z oblasti maloobchodu, průmyslu, cestovního ruchu, ale i hotelů a restaurací při digitalizaci obchodních procesů. Zejména pro průmysl, výrobu a logistiku nabízíme řešení ESL, která zefektivňují nebo dokonce automatizují řízení zásob, vychystávání a vkládání zboží, řízení poslední míle nebo označování skladů.",49-85120093030,info@e-shelf-labels.de,,e-shelf-labels.com,EN
Technický týdeník - Business Media CZ s.r.o.,,"Víceoborový časopis zaměřený na průmysl, technologie, vědu a technické školství.",420-602216957,techtyd@bmczech.cz,,www.technickyportal.cz,CZ
"Schwank CZ, s.r.o.",,,420-545211530,info@schwank.cz,,www.schwank.cz,CZ
Ferdinand Gross GmbH & Co. KG,,,49-351850070,dresden@schrauben-gross.de,,www.schrauben-gross.de,EN
TECNOTRADE OBRÁBĚCÍ STROJE s.r.o.,BTB TRANSFER SPA,"Obchodní firma, výhradní autorizovaný zástupce a dealer CNC obráběcích strojů značky DN Solutions a BTB Transfer pro ČR a SR. Prodej a servis 3D tiskáren různých značek, včetně kovových tiskáren značky InssTek a fiber laserů.",420-541263636,info@tecnotrade.cz,IT,www.tecnotrade.cz,CZ
HUKOS s.r.o.,Thermo Fisher Scientific NITON,"Ruční rentgenové spektrometry pro rychlou chemickou analýzu kovů, plastů, hornin, půd, autokatalyzátorů a dalších materiálů. Přesné laboratorní jiskrové optické emisní spektrometry a automatizace v laboratoři.",420-596706301,hukos@hukos.cz,US,www.hukos.cz,CZ
Adriatecnica S.r.l.,,,39-040660102,info@adriatecnica.it,,www.adriatecnica.it,EN
Bäcker Systems Sp. z o.o.,,"BAKERS SYSTEMS - VÝROBCE PLASTOVÝCH A KOVANÝCH KOMPONENTŮ

Již více než 40 let dodáváme manipulační prvky, standardní díly, ochranné prvky, uzávěry a individuální řešení pro různé odvětví průmyslu. Našimi hlavními prioritami jsou kvalita, přesnost a inovace, s konečným cílem poskytovat optimální řešení pro naše zákazníky.

Rozmanitost je klíčem k úspěchu
Naše standardní nabídka zahrnuje více než 5 000 položek s celkovým počtem přes 23 000 variant a typických rozměrů. Naše produktové řady, jako jsou PlacoGrip®, PlacoTec®, PlacoCap® a PlacoLock®, zahrnují páčkové upínáky, západky, rukojeti a držadla, plastové šrouby, matice, ochranné kryty, průmyslové zámky a mnoho dalšího.

Moderní technologie nám dávají sílu
V našich programech PlacoPrint3D a PlacoEngineering vyvíjíme individuální a na míru šité řešení, která odpovídají potřebám zákazníka. K dosažení tohoto cíle používáme moderní CAD software pro návrh a 3D simulaci, software KeyShot pro tvorbu fotorealistických 3D vizualizací a průmyslový tisk 3D s využitím technologie MJF pro výrobu krátkých sérií a prototypů. Tímto způsobem můžeme zaručit našim zákazníkům nákladově efektivní a účinnou kvalitu. Naše zkušené týmy jsou k dispozici na každém stupni projektu, od plánování po sériovou výrobu.

Naše produktové řady zahrnují:
PlacoGrip® - Manipulační prvky (rukojeti, páčky, západky, atd.)
PlacoTec® - Standardní díly (DIN šrouby, matice, plastové podložky, atd.)
PlacoCap® - Ochranné prvky (záslepky, ochranné kryty, sanitární upevňovací prvky, atd.)
PlacoLock® - Uzávěrové systémy (průmyslové zámky, kompletní uzávěrové systémy, atd.)
PlacoPrint3D - Výroba malých sérií (ekonomická výroba jednotlivých kusů v technologii aditivní výroby)
PlacoEngineering - Návrhová řešení (individuální plastová řešení)

Odbornost pro každou oblast
Vyrábíme produkty pro přední průmyslové společnosti v různých odvětvích, včetně elektrotechniky, elektroniky, lékařské techniky, strojírenství a zařízení, automobilového průmyslu, chemického průmyslu, loděnice, průmyslu sportovního a rekreačního vybavení, sanitárního průmyslu a technologie rehabilitace.",48-343530003,biuro@backer.pl,,www.backer.pl,EN
"HPM HEAT SK, s.r.o.",,"Tepelné a chemicko-tepelné zpracování oceli - cementace, nitrocementace, kalení, zušlechťování oceli.",421-903785776,info@hpmheat.eu,,hpmheat.eu,EN
NMH s.r.o.,,,421-312304441,sales@nmh-sro.com,,www.nmh-sro.com/sk,EN
SMW Autoblok s.r.o.,,"Upínací systémy na klíč pro obory: průmyslová zařízení, automobilní průmysl, těžba ropy (OCTG), stroje pro silniční stavitelství, letecký průmysl.",420-734756755,info@smw-autoblok.cz,,www.smw-autoblok.de,CZ
ONI Temperiertechnik Rhytemper GmbH,,,49-3595241100,info@oni-rhytemper.de,,www.oni-rhytemper.de,EN
"GAPA MB, s.r.o.",,,420-326735428,vyroba@gapa.cz,,www.gapa.cz,CZ
"Shenzhen Chainway Information Technology Co., Ltd.","Shenzhen Chainway Information Technology Co., Ltd.",,420-739422196,info@itfuture.cz,CN,www.chainway.cz,CZ
Gebr. Heller Maschinenfabrik GmbH,,,49-899050940,info@heller.biz,,www.heller.biz,EN
Biko společnost s ručením omezeným,,"Dodáváme kompletní sortiment průmyslových vysavačů Freddy, které jsou určeny pro čerpání a filtraci obráběcích kapalin CNC.  Jsou vyráběny na míru dle technických požadavků zákazníka a potřeb jeho provozu, které specifikujeme bezplatnou konzultací a případně předvedením přímo v jeho provozu. Následně jsme připraveni předložit nabídku doplněnou kalkulací ROI.",420-602494346,biko@biko.cz,,www.biko.cz,CZ
"ETIGRAF, s.r.o.",,"Výroba etiket, TTR, tiskárny čárových kódů, snímače, lasery a laserové značení",420-499621123,etigraf@etigraf.cz,,www.etigraf.cz,CZ
PEGAS - GONDA s.r.o.,,"Český výrobce pásových pil na kov. 
Strojírenská výroba.",420-544221125,pegas@gonda.cz,,www.pegas-gonda.cz,CZ
ITAX PRECISION s.r.o.,EMCO GmbH,"CNC obráběcí stroje HURCO, HELLER a EMCO.
Prodej kompletního příslušenství pro obrábění kovu.
Řezné nářadí pro frézování i soustružení.",420-469318402,info@itax.cz,AT,www.itax.cz,CZ
HURCO Werkzeugmaschinen GmbH,,,49-899050940,info@hurco.de,,www.hurco.eu,EN
HQH System,,,420-222587708,jan@hqh.cz,,www.hqh.cz,CZ
Jet Star International LTD Sp. z o.o.,,,420-725788858,viktorie.ovsijcukova@jetstar.company,,jetstar.company/cz/,EN
"ENPRAG, s.r.o.",,,420-224942663,obchod@kovovynabytek.cz,,www.kovovynabytek.cz,CZ
PLASMET Sp z o.o.,,,48-607332996,k.kogut@plasmet.net,,www.plasmet.net,EN
Ing. Tomáš Valenta,Parmigiani Macchine,"Naše firma je výhradním zástupce pro Českou a Slovenskou republiku firem: 
Parmigiani - hydraulické zakružovačky plechů a profilů
Nosstec - motorické zakružovačky plechu, včetně CNC
Aliko - hydraulické ohraňovací lisy
Plasmet - nástroje pro ohraňovací lisy",420-603283964,info@valentatechnology.cz,IT,www.valentatechnology.cz,CZ
"REALISTIC, a.s.",,"Projekce, výroba, montáž a servis průmyslových elektrických a plynových pecí.",420-353403111,obchod@realistic.cz,,www.realistic.cz,CZ
TEXIMP S.A.,HAAS AUTOMATION,"Dodavatel CNC obráběcích strojů. Zajišťujeme prodej, servis, školení a zpracování technologie obrábění.",41-449144000,marketing@teximp.com,US,www.teximp.com,EN
LINEA spol. s r.o.,ARRALBE,"Nabízíme sortiment nástrojů pro soustružení, frézování, zhotovování závitů, obrábění otvorů včetně nástrojů pro ruční dokončovací práce.",420-283880819,info@linea-nastroje.cz,ES,www.linea-nastroje.cz,CZ
AMPO s.r.o.,Bonfiglioli Riduttori S.p.A,"Převodovky, planetové převodovky Bonfiglioli Riduttori - Itálie.
Lineární pohony a posuvy PMI.
Komponenty dopravníků SYSTEM PLAST.",420-566686111,ampo@ampo.cz,IT,www.ampo.cz,CZ
Migatronic CZ a.s.,Migatronic A/S,"Zařízení pro el. obloukové svařování, plazmové řezání a svařování. Mechanizované a robotizované svařování.",420-411135600,migatronic@migatronic.cz,DK,www.migatronic.cz,CZ
Torwegge CZ s.r.o.,,,420-513035474,lukas.bartonicek@torwegge.cz,,www.torwegge.cz,CZ
"REKUMAT Wärmeprozesstechnik ČR, spol. s r.o.",WS Wärmeprozesstechnik GmbH,Hořáky se zpětným získáváním tepla. Topné systémy pro průmyslové pece.,420-556852852,ws@rekumat.cz,DE,www.flox.com,CZ
"Synventive Molding Solutions, s.r.o.",,,420-226203000,infohrcz@synventive.com,,www.synventive.com,EN
OSTROJ a.s.,,Výrobce plně automatizovaných transportních systémů pro dopravu materiálů.,420-553872111,info@ostroj.cz,,www.ostroj.cz,CZ
SCHUNK Intec s.r.o.,Eberhardt GmbH & Co. KG,Upínání nástrojů a obrobků. Díly pro automatizaci a robotické příslušenství.,420-513036213,info@cz.schunk.com,DE,www.cz.schunk.com,EN
VACULA s.r.o.,Epsan Fz Kimya Plastik San. ve Tic. A.S.,Granuláty pro vstřikování a extruzi.,420-581701706,vacula@vacula.cz,TR,www.vacula.cz,CZ
GPS Dozor ,,,420-775299334,info@gpsdozor.cz,,www.gpsdozor.cz,CZ
REGAZ s.r.o.,,,420-800100973,regaz@regaz.cz,,www.regaz.cz,CZ
"Valk Welding CZ, s.r.o.",,"Svařovací robotické systémy s průmyslovými roboty Panasonic.
Svařovací drát a spotřební materiál pro svařování.",420-556730954,info@valkwelding.cz,,www.valkwelding.cz,CZ
